phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_math_to_number,no_pgcm_function_at_start,,1,5221500
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::roots::stack_maps::StackMapIndex>::match_records,no_pgcm_function_at_start,,1,5220771
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::descriptor_state::class_instance_set_may_intercept,no_pgcm_function_at_start,,1,5220133
startup,foreign_pid,other_dso,/usr/bin/node,"v8::internal::Scope::Scope(v8::internal::Zone*, v8::internal::ScopeType)",not_application_dso,,1,5219815
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::map::find_key_index_cold,no_pgcm_function_at_start,,1,5219324
startup,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_new_function_construct,no_pgcm_function_at_start,,1,5219147
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_closure_set_box_capture_ptr,no_pgcm_function_at_start,,1,5218351
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::dead_owner::prune_dead_owner_side_tables_copied_minor::{closure#0},no_pgcm_function_at_start,,1,5218010
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::descriptor_state::object_proto_may_intercept_key,no_pgcm_function_at_start,,1,5216469
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_object_is,no_pgcm_function_at_start,,1,5215877
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typed_feedback::guards::class_getter_in_chain,no_pgcm_function_at_start,,1,5215147
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<regex::regex::string::Regex>::captures_at,no_pgcm_function_at_start,,1,5210966
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"core::slice::sort::unstable::quicksort::quicksort::<u32, <u32 as core::cmp::PartialOrd>::lt>",no_pgcm_function_at_start,,1,5210344
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::object::shapes::ShapeTableInner>::family_append_fresh,no_pgcm_function_at_start,,1,5209029
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<fancy_regex::vm::State>::save,no_pgcm_function_at_start,,1,5208738
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::field_get_set::accessors::own_data_field_by_name,no_pgcm_function_at_start,,1,5208717
startup,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__xC,exact_start_and_symbol,53:458,1,5208613
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::keys_lookup::keys_find_slot_by_key_ptr,no_pgcm_function_at_start,,1,5207279
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::roots::runtime_handles::RuntimeHandleScope>::root_nanbox_f64_slice,no_pgcm_function_at_start,,1,5206144
startup,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_typed_feedback_class_field_get_guard,no_pgcm_function_at_start,,1,5206138
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::set::is_string_like,no_pgcm_function_at_start,,1,5205643
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__qD7,exact_start_and_symbol,106:214,1,5204929
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_write_barrier_slot,no_pgcm_function_at_start,,1,5203724
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::string_wrapper::has_index_key,no_pgcm_function_at_start,,1,5203073
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::arena::page_meta::unregister_old_block_pages,no_pgcm_function_at_start,,1,5202385
command,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,_Unwind_Find_FDE,not_application_dso,,1,5201863
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,_mi_theap_collect_retired,no_pgcm_function_at_start,,1,5201519
