phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbb0,0,push %rbp,19,96209143,0.5084803768648065,entry_return
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbb1,1,"mov %rsp,%rbp",13,68410627,0.36156086951650435,entry_return
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbb6,6,push %r14,1,5342503,0.028235964422231256,entry_return
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbb8,8,push %rbx,2,10611313,0.056082449806983736,entry_return
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbba,10,"test %rdi,%rdi",1,5134629,0.027137317801292176,entry_return
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbcd,29,"cmp $0x300,%r14d",17,88861387,0.4696463365284255,tls_resolution
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbea,58,"cmpq $0x0,0x78(%rax)",1,5174914,0.027350230330634617,tls_resolution
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbef,63,je 113cdcd8 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime2gc6malloc27gc_malloc_header_is_tracked+0x128>,6,31518972,0.16658269953564894,tls_resolution
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdbf5,69,"mov 0x1e8(%rax,%r14,8),%r14",3,15084956,0.07972635315823387,tls_resolution
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdc00,80,je 113cdcf8 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime2gc6malloc27gc_malloc_header_is_tracked+0x148>,2,10525861,0.055630822614297366,tls_resolution
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdc0a,90,jne 113cdd12 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime2gc6malloc27gc_malloc_header_is_tracked+0x162>,23,120799109,0.6384421953457463,borrow_and_ensure_dispatch
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdc20,112,"cmpq $0x0,0x38(%r14)",4,20784121,0.10984733206576572,hash_lookup
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdc25,117,je 113cdcc4 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime2gc6malloc27gc_malloc_header_is_tracked+0x114>,9,47456464,0.25081483887026335,hash_lookup
command,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,0x113cdc2b,123,"movabs $0x9e3779b97f4a7c15,%rax",1,5277337,0.027891551914172932,hash_lookup
